SearchBayesianSkopt: New best config found. Config 0: {'norm': 1, 'alpha': 0.5030828870316804, 'beta': 0.08303079948852111, 'gamma': 0.23468894287393555} - results: PRECISION: 0.0401580, PRECISION_RECALL_MIN_DEN: 0.0924895, RECALL: 0.0905219, MAP: 0.0191230, MAP_MIN_DEN: 0.0431827, MRR: 0.1422658, NDCG: 0.0793527, F1: 0.0556349, HIT_RATE: 0.2950274, ARHR_ALL_HITS: 0.1642068, NOVELTY: 0.0038148, AVERAGE_POPULARITY: 0.1839195, DIVERSITY_MEAN_INTER_LIST: 0.9526189, DIVERSITY_HERFINDAHL: 0.9952594, COVERAGE_ITEM: 0.1432709, COVERAGE_ITEM_HIT: 0.0489846, ITEMS_IN_GT: 0.8487557, COVERAGE_USER: 0.9304091, COVERAGE_USER_HIT: 0.2744961, USERS_IN_GT: 0.9304091, DIVERSITY_GINI: 0.0197971, SHANNON_ENTROPY: 9.1663500, RATIO_DIVERSITY_HERFINDAHL: 0.9955886, RATIO_DIVERSITY_GINI: 0.0443833, RATIO_SHANNON_ENTROPY: 0.6793052, RATIO_AVERAGE_POPULARITY: 3.6103018, RATIO_NOVELTY: 0.2352550, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'norm': 1, 'alpha': 0.07728982601644442, 'beta': 0.9009310861700315, 'gamma': 0.01991718998522485} - results: PRECISION: 0.0380228, PRECISION_RECALL_MIN_DEN: 0.0876226, RECALL: 0.0857695, MAP: 0.0179323, MAP_MIN_DEN: 0.0405273, MRR: 0.1348787, NDCG: 0.0749171, F1: 0.0526882, HIT_RATE: 0.2831509, ARHR_ALL_HITS: 0.1548609, NOVELTY: 0.0039475, AVERAGE_POPULARITY: 0.1684603, DIVERSITY_MEAN_INTER_LIST: 0.9588623, DIVERSITY_HERFINDAHL: 0.9958838, COVERAGE_ITEM: 0.5048627, COVERAGE_ITEM_HIT: 0.0509511, ITEMS_IN_GT: 0.8487557, COVERAGE_USER: 0.9304091, COVERAGE_USER_HIT: 0.2634462, USERS_IN_GT: 0.9304091, DIVERSITY_GINI: 0.0449621, SHANNON_ENTROPY: 9.6977469, RATIO_DIVERSITY_HERFINDAHL: 0.9962131, RATIO_DIVERSITY_GINI: 0.1008010, RATIO_SHANNON_ENTROPY: 0.7186863, RATIO_AVERAGE_POPULARITY: 3.3068411, RATIO_NOVELTY: 0.2434364, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'norm': 2, 'alpha': 0.8616976783626844, 'beta': 0.838804496942593, 'gamma': 0.9280167367733684} - results: PRECISION: 0.0220076, PRECISION_RECALL_MIN_DEN: 0.0468771, RECALL: 0.0454926, MAP: 0.0089419, MAP_MIN_DEN: 0.0185127, MRR: 0.0679913, NDCG: 0.0377707, F1: 0.0296646, HIT_RATE: 0.1701694, ARHR_ALL_HITS: 0.0776031, NOVELTY: 0.0036914, AVERAGE_POPULARITY: 0.2060347, DIVERSITY_MEAN_INTER_LIST: 0.9352944, DIVERSITY_HERFINDAHL: 0.9935270, COVERAGE_ITEM: 0.2208953, COVERAGE_ITEM_HIT: 0.0340747, ITEMS_IN_GT: 0.8487557, COVERAGE_USER: 0.9304091, COVERAGE_USER_HIT: 0.1583271, USERS_IN_GT: 0.9304091, DIVERSITY_GINI: 0.0141206, SHANNON_ENTROPY: 8.5293090, RATIO_DIVERSITY_HERFINDAHL: 0.9938556, RATIO_DIVERSITY_GINI: 0.0316571, RATIO_SHANNON_ENTROPY: 0.6320950, RATIO_AVERAGE_POPULARITY: 4.0444191, RATIO_NOVELTY: 0.2276420, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'norm': 2, 'alpha': 0.011914948406483442, 'beta': 0.3847041522426725, 'gamma': 0.17252753625252995} - results: PRECISION: 0.0397346, PRECISION_RECALL_MIN_DEN: 0.0917826, RECALL: 0.0898630, MAP: 0.0188877, MAP_MIN_DEN: 0.0428764, MRR: 0.1412011, NDCG: 0.0787172, F1: 0.0551039, HIT_RATE: 0.2936074, ARHR_ALL_HITS: 0.1625775, NOVELTY: 0.0038549, AVERAGE_POPULARITY: 0.1769313, DIVERSITY_MEAN_INTER_LIST: 0.9556533, DIVERSITY_HERFINDAHL: 0.9955629, COVERAGE_ITEM: 0.2767091, COVERAGE_ITEM_HIT: 0.0499142, ITEMS_IN_GT: 0.8487557, COVERAGE_USER: 0.9304091, COVERAGE_USER_HIT: 0.2731750, USERS_IN_GT: 0.9304091, DIVERSITY_GINI: 0.0244195, SHANNON_ENTROPY: 9.3195611, RATIO_DIVERSITY_HERFINDAHL: 0.9958921, RATIO_DIVERSITY_GINI: 0.0547463, RATIO_SHANNON_ENTROPY: 0.6906595, RATIO_AVERAGE_POPULARITY: 3.4731246, RATIO_NOVELTY: 0.2377268, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'norm': 1, 'alpha': 0.45636321657662204, 'beta': 0.46074405429246956, 'gamma': 0.36065958787091196} - results: PRECISION: 0.0388103, PRECISION_RECALL_MIN_DEN: 0.0898656, RECALL: 0.0879948, MAP: 0.0183523, MAP_MIN_DEN: 0.0416279, MRR: 0.1378159, NDCG: 0.0767593, F1: 0.0538638, HIT_RATE: 0.2884953, ARHR_ALL_HITS: 0.1583933, NOVELTY: 0.0038493, AVERAGE_POPULARITY: 0.1868014, DIVERSITY_MEAN_INTER_LIST: 0.9490307, DIVERSITY_HERFINDAHL: 0.9949006, COVERAGE_ITEM: 0.3180778, COVERAGE_ITEM_HIT: 0.0494136, ITEMS_IN_GT: 0.8487557, COVERAGE_USER: 0.9304091, COVERAGE_USER_HIT: 0.2684187, USERS_IN_GT: 0.9304091, DIVERSITY_GINI: 0.0266358, SHANNON_ENTROPY: 9.2754849, RATIO_DIVERSITY_HERFINDAHL: 0.9952296, RATIO_DIVERSITY_GINI: 0.0597150, RATIO_SHANNON_ENTROPY: 0.6873930, RATIO_AVERAGE_POPULARITY: 3.6668742, RATIO_NOVELTY: 0.2373778, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'norm': 1, 'alpha': 0.8055877667095953, 'beta': 0.45717101522088666, 'gamma': 0.8744133824409017} - results: PRECISION: 0.0222787, PRECISION_RECALL_MIN_DEN: 0.0475497, RECALL: 0.0461931, MAP: 0.0091270, MAP_MIN_DEN: 0.0189397, MRR: 0.0698882, NDCG: 0.0385334, F1: 0.0300598, HIT_RATE: 0.1727512, ARHR_ALL_HITS: 0.0794982, NOVELTY: 0.0036367, AVERAGE_POPULARITY: 0.2174119, DIVERSITY_MEAN_INTER_LIST: 0.9285337, DIVERSITY_HERFINDAHL: 0.9928510, COVERAGE_ITEM: 0.1203876, COVERAGE_ITEM_HIT: 0.0315360, ITEMS_IN_GT: 0.8487557, COVERAGE_USER: 0.9304091, COVERAGE_USER_HIT: 0.1607293, USERS_IN_GT: 0.9304091, DIVERSITY_GINI: 0.0103030, SHANNON_ENTROPY: 8.2913539, RATIO_DIVERSITY_HERFINDAHL: 0.9931793, RATIO_DIVERSITY_GINI: 0.0230984, RATIO_SHANNON_ENTROPY: 0.6144605, RATIO_AVERAGE_POPULARITY: 4.2677505, RATIO_NOVELTY: 0.2242717, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'norm': 1, 'alpha': 0.47160385653835135, 'beta': 0.015323417545749288, 'gamma': 0.26664850761298603} - results: PRECISION: 0.0400212, PRECISION_RECALL_MIN_DEN: 0.0921299, RECALL: 0.0901702, MAP: 0.0190662, MAP_MIN_DEN: 0.0430362, MRR: 0.1418597, NDCG: 0.0790900, F1: 0.0554371, HIT_RATE: 0.2943045, ARHR_ALL_HITS: 0.1637485, NOVELTY: 0.0038049, AVERAGE_POPULARITY: 0.1850261, DIVERSITY_MEAN_INTER_LIST: 0.9521696, DIVERSITY_HERFINDAHL: 0.9952145, COVERAGE_ITEM: 0.1356908, COVERAGE_ITEM_HIT: 0.0479834, ITEMS_IN_GT: 0.8487557, COVERAGE_USER: 0.9304091, COVERAGE_USER_HIT: 0.2738235, USERS_IN_GT: 0.9304091, DIVERSITY_GINI: 0.0190995, SHANNON_ENTROPY: 9.1299642, RATIO_DIVERSITY_HERFINDAHL: 0.9955436, RATIO_DIVERSITY_GINI: 0.0428193, RATIO_SHANNON_ENTROPY: 0.6766087, RATIO_AVERAGE_POPULARITY: 3.6320240, RATIO_NOVELTY: 0.2346404, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'norm': 2, 'alpha': 0.02560425082414309, 'beta': 0.7103622177877544, 'gamma': 0.036026680657632044} - results: PRECISION: 0.0389910, PRECISION_RECALL_MIN_DEN: 0.0898394, RECALL: 0.0879377, MAP: 0.0185927, MAP_MIN_DEN: 0.0420758, MRR: 0.1392528, NDCG: 0.0772758, F1: 0.0540269, HIT_RATE: 0.2883662, ARHR_ALL_HITS: 0.1601882, NOVELTY: 0.0039068, AVERAGE_POPULARITY: 0.1717968, DIVERSITY_MEAN_INTER_LIST: 0.9577041, DIVERSITY_HERFINDAHL: 0.9957679, COVERAGE_ITEM: 0.4208023, COVERAGE_ITEM_HIT: 0.0509868, ITEMS_IN_GT: 0.8487557, COVERAGE_USER: 0.9304091, COVERAGE_USER_HIT: 0.2682985, USERS_IN_GT: 0.9304091, DIVERSITY_GINI: 0.0346172, SHANNON_ENTROPY: 9.5333059, RATIO_DIVERSITY_HERFINDAHL: 0.9960972, RATIO_DIVERSITY_GINI: 0.0776087, RATIO_SHANNON_ENTROPY: 0.7064998, RATIO_AVERAGE_POPULARITY: 3.3723352, RATIO_NOVELTY: 0.2409248, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'norm': 1, 'alpha': 0.6304428238258478, 'beta': 0.31956116507316684, 'gamma': 0.3260705080117143} - results: PRECISION: 0.0397552, PRECISION_RECALL_MIN_DEN: 0.0918876, RECALL: 0.0899808, MAP: 0.0188409, MAP_MIN_DEN: 0.0427374, MRR: 0.1409408, NDCG: 0.0786443, F1: 0.0551459, HIT_RATE: 0.2942528, ARHR_ALL_HITS: 0.1622755, NOVELTY: 0.0038235, AVERAGE_POPULARITY: 0.1893246, DIVERSITY_MEAN_INTER_LIST: 0.9483640, DIVERSITY_HERFINDAHL: 0.9948339, COVERAGE_ITEM: 0.2015875, COVERAGE_ITEM_HIT: 0.0493421, ITEMS_IN_GT: 0.8487557, COVERAGE_USER: 0.9304091, COVERAGE_USER_HIT: 0.2737755, USERS_IN_GT: 0.9304091, DIVERSITY_GINI: 0.0218052, SHANNON_ENTROPY: 9.1789802, RATIO_DIVERSITY_HERFINDAHL: 0.9951629, RATIO_DIVERSITY_GINI: 0.0488852, RATIO_SHANNON_ENTROPY: 0.6802412, RATIO_AVERAGE_POPULARITY: 3.7164030, RATIO_NOVELTY: 0.2357858, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'norm': 1, 'alpha': 0.9512127621372413, 'beta': 0.8024909632645025, 'gamma': 0.0016166776456800762} - results: PRECISION: 0.0381777, PRECISION_RECALL_MIN_DEN: 0.0876600, RECALL: 0.0857970, MAP: 0.0178596, MAP_MIN_DEN: 0.0404015, MRR: 0.1340626, NDCG: 0.0747922, F1: 0.0528420, HIT_RATE: 0.2835382, ARHR_ALL_HITS: 0.1540763, NOVELTY: 0.0038671, AVERAGE_POPULARITY: 0.1826349, DIVERSITY_MEAN_INTER_LIST: 0.9512409, DIVERSITY_HERFINDAHL: 0.9951216, COVERAGE_ITEM: 0.3240847, COVERAGE_ITEM_HIT: 0.0507723, ITEMS_IN_GT: 0.8487557, COVERAGE_USER: 0.9304091, COVERAGE_USER_HIT: 0.2638065, USERS_IN_GT: 0.9304091, DIVERSITY_GINI: 0.0278047, SHANNON_ENTROPY: 9.3416871, RATIO_DIVERSITY_HERFINDAHL: 0.9954507, RATIO_DIVERSITY_GINI: 0.0623355, RATIO_SHANNON_ENTROPY: 0.6922992, RATIO_AVERAGE_POPULARITY: 3.5850864, RATIO_NOVELTY: 0.2384779, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'norm': 1, 'alpha': 0.058992512824035406, 'beta': 0.5525615096175731, 'gamma': 0.4893080876236445} - results: PRECISION: 0.0370805, PRECISION_RECALL_MIN_DEN: 0.0852905, RECALL: 0.0834607, MAP: 0.0172701, MAP_MIN_DEN: 0.0390950, MRR: 0.1300935, NDCG: 0.0725525, F1: 0.0513478, HIT_RATE: 0.2775741, ARHR_ALL_HITS: 0.1493127, NOVELTY: 0.0039369, AVERAGE_POPULARITY: 0.1764303, DIVERSITY_MEAN_INTER_LIST: 0.9539186, DIVERSITY_HERFINDAHL: 0.9953894, COVERAGE_ITEM: 0.5421553, COVERAGE_ITEM_HIT: 0.0485197, ITEMS_IN_GT: 0.8487557, COVERAGE_USER: 0.9304091, COVERAGE_USER_HIT: 0.2582575, USERS_IN_GT: 0.9304091, DIVERSITY_GINI: 0.0501481, SHANNON_ENTROPY: 9.6475584, RATIO_DIVERSITY_HERFINDAHL: 0.9957186, RATIO_DIVERSITY_GINI: 0.1124275, RATIO_SHANNON_ENTROPY: 0.7149669, RATIO_AVERAGE_POPULARITY: 3.4632899, RATIO_NOVELTY: 0.2427789, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'norm': 1, 'alpha': 0.6783154405105422, 'beta': 0.7734717897006098, 'gamma': 0.5369463653276156} - results: PRECISION: 0.0304580, PRECISION_RECALL_MIN_DEN: 0.0679328, RECALL: 0.0662781, MAP: 0.0131149, MAP_MIN_DEN: 0.0285168, MRR: 0.0989883, NDCG: 0.0556443, F1: 0.0417362, HIT_RATE: 0.2315140, ARHR_ALL_HITS: 0.1134915, NOVELTY: 0.0038470, AVERAGE_POPULARITY: 0.1897808, DIVERSITY_MEAN_INTER_LIST: 0.9447336, DIVERSITY_HERFINDAHL: 0.9944709, COVERAGE_ITEM: 0.4457594, COVERAGE_ITEM_HIT: 0.0441934, ITEMS_IN_GT: 0.8487557, COVERAGE_USER: 0.9304091, COVERAGE_USER_HIT: 0.2154027, USERS_IN_GT: 0.9304091, DIVERSITY_GINI: 0.0350270, SHANNON_ENTROPY: 9.2253564, RATIO_DIVERSITY_HERFINDAHL: 0.9947998, RATIO_DIVERSITY_GINI: 0.0785273, RATIO_SHANNON_ENTROPY: 0.6836781, RATIO_AVERAGE_POPULARITY: 3.7253576, RATIO_NOVELTY: 0.2372386, 
